country,genre,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025
카자흐스탄,게임,0.0,0.0,0.0,20.0,20.0,20.0
카자흐스탄,도서/만화,0.0,0.0,0.0,20.0,20.0,20.2
카자흐스탄,드라마,0.0,0.0,0.0,20.0,20.0,20.2
카자흐스탄,뷰티,0.0,0.0,0.0,20.0,20.0,20.0
카자흐스탄,애니메이션,0.0,0.0,0.0,20.2,20.2,20.0
카자흐스탄,영화,0.0,0.0,0.0,20.4,19.8,19.8
카자흐스탄,예능,0.0,0.0,0.0,20.0,20.0,20.0
카자흐스탄,웹툰,0.0,0.0,0.0,20.2,19.8,20.2
카자흐스탄,음악,0.0,0.0,0.0,20.0,20.0,20.0
카자흐스탄,패션,0.0,0.0,0.0,20.0,20.0,20.0
카자흐스탄,한식,0.0,0.0,0.0,20.2,19.8,20.0
캐나다,게임,0.0,0.0,0.0,20.0,20.0,20.0
캐나다,도서/만화,0.0,0.0,0.0,20.0,20.2,20.0
캐나다,드라마,0.0,0.0,0.0,20.0,20.2,20.2
캐나다,뷰티,0.0,0.0,0.0,20.0,20.0,20.2
캐나다,애니메이션,0.0,0.0,0.0,20.0,19.8,20.0
캐나다,영화,0.0,0.0,0.0,19.8,20.0,20.0
캐나다,예능,0.0,0.0,0.0,19.8,20.0,20.0
캐나다,웹툰,0.0,0.0,0.0,20.0,20.2,20.2
캐나다,음악,0.0,0.0,0.0,20.0,20.0,20.2
캐나다,패션,0.0,0.0,0.0,20.0,20.0,20.0
캐나다,한식,0.0,0.0,0.0,19.8,19.8,20.2
태국,게임,25.0,0.0,0.0,20.0,20.0,20.2
태국,도서/만화,25.0,20.0,20.2,20.0,19.8,19.8
태국,드라마,25.0,19.8,20.0,19.8,20.2,20.2
태국,뷰티,25.0,20.0,20.0,20.0,20.0,20.2
태국,애니메이션,25.0,20.2,20.0,20.0,20.2,20.2
태국,영화,24.8,20.0,20.0,20.0,20.0,20.0
태국,예능,25.0,20.0,19.8,19.8,20.0,20.2
태국,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
태국,웹툰,25.0,20.0,20.0,19.8,19.8,20.0
태국,음악,25.0,20.0,20.0,20.2,20.0,20.2
태국,패션,25.0,20.0,20.2,19.8,20.0,20.0
태국,한식,25.0,20.0,20.0,20.0,19.8,20.0
터키,게임,25.0,0.0,0.0,0.0,0.0,0.0
터키,도서/만화,25.2,20.2,19.8,0.0,0.0,0.0
터키,드라마,25.0,20.0,20.0,0.0,0.0,0.0
터키,뷰티,25.0,20.2,20.2,0.0,0.0,0.0
터키,애니메이션,25.2,20.0,20.0,0.0,0.0,0.0
터키,영화,25.2,20.0,20.0,0.0,0.0,0.0
터키,예능,25.2,20.0,19.8,0.0,0.0,0.0
터키,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
터키,웹툰,25.2,20.0,20.0,0.0,0.0,0.0
터키,음악,25.2,20.2,19.8,0.0,0.0,0.0
터키,패션,25.2,20.4,20.0,0.0,0.0,0.0
터키,한식,25.2,19.8,19.8,0.0,0.0,0.0
튀르키에,게임,0.0,0.0,0.0,0.0,0.0,20.2
튀르키에,도서/만화,0.0,0.0,0.0,0.0,0.0,20.2
튀르키에,드라마,0.0,0.0,0.0,0.0,0.0,20.0
튀르키에,뷰티,0.0,0.0,0.0,0.0,0.0,20.0
튀르키에,애니메이션,0.0,0.0,0.0,0.0,0.0,20.2
튀르키에,영화,0.0,0.0,0.0,0.0,0.0,20.2
튀르키에,예능,0.0,0.0,0.0,0.0,0.0,20.2
튀르키에,웹툰,0.0,0.0,0.0,0.0,0.0,19.8
튀르키에,음악,0.0,0.0,0.0,0.0,0.0,20.0
튀르키에,패션,0.0,0.0,0.0,0.0,0.0,20.0
튀르키에,한식,0.0,0.0,0.0,0.0,0.0,20.2
튀르키예,게임,0.0,0.0,0.0,0.0,20.2,0.0
튀르키예,도서/만화,0.0,0.0,0.0,0.0,20.0,0.0
튀르키예,드라마,0.0,0.0,0.0,0.0,20.0,0.0
튀르키예,뷰티,0.0,0.0,0.0,0.0,20.2,0.0
튀르키예,애니메이션,0.0,0.0,0.0,0.0,19.8,0.0
튀르키예,영화,0.0,0.0,0.0,0.0,20.0,0.0
튀르키예,예능,0.0,0.0,0.0,0.0,20.0,0.0
튀르키예,웹툰,0.0,0.0,0.0,0.0,20.0,0.0
튀르키예,음악,0.0,0.0,0.0,0.0,20.0,0.0
튀르키예,패션,0.0,0.0,0.0,0.0,19.8,0.0
튀르키예,한식,0.0,0.0,0.0,0.0,19.8,0.0
파리,게임,0.0,0.0,0.0,20.0,0.0,0.0
파리,도서/만화,0.0,0.0,0.0,20.2,0.0,0.0
파리,드라마,0.0,0.0,0.0,19.8,0.0,0.0
파리,뷰티,0.0,0.0,0.0,20.0,0.0,0.0
파리,애니메이션,0.0,0.0,0.0,20.2,0.0,0.0
파리,영화,0.0,0.0,0.0,20.0,0.0,0.0
파리,예능,0.0,0.0,0.0,20.2,0.0,0.0
파리,웹툰,0.0,0.0,0.0,20.0,0.0,0.0
파리,음악,0.0,0.0,0.0,20.2,0.0,0.0
파리,패션,0.0,0.0,0.0,20.0,0.0,0.0
파리,한식,0.0,0.0,0.0,19.8,0.0,0.0
프랑스,게임,25.0,0.0,0.0,0.0,19.8,20.0
프랑스,도서/만화,25.0,20.0,20.2,0.0,20.2,20.0
프랑스,드라마,24.8,20.0,20.4,0.0,20.0,19.8
프랑스,뷰티,25.0,19.8,20.2,0.0,20.0,20.0
프랑스,애니메이션,25.0,20.2,20.0,0.0,19.8,20.0
프랑스,영화,25.0,20.0,20.0,0.0,20.0,20.0
프랑스,예능,25.0,20.2,20.0,0.0,20.0,20.0
프랑스,온라인/모바일게임,0.0,19.6,20.0,0.0,0.0,0.0
프랑스,웹툰,25.0,20.0,20.0,0.0,20.0,20.2
프랑스,음악,25.0,20.2,20.0,0.0,19.8,20.2
프랑스,패션,24.8,20.0,20.2,0.0,20.2,20.2
프랑스,한식,24.8,20.0,20.2,0.0,20.0,20.2
필리핀,게임,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,도서/만화,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,드라마,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,뷰티,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,애니메이션,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,영화,0.0,0.0,0.0,0.0,0.0,20.2
필리핀,예능,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,웹툰,0.0,0.0,0.0,0.0,0.0,20.2
필리핀,음악,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,패션,0.0,0.0,0.0,0.0,0.0,20.0
필리핀,한식,0.0,0.0,0.0,0.0,0.0,20.0
호주,게임,22.5,0.0,0.0,19.8,20.0,20.0
호주,도서/만화,24.8,20.2,20.2,20.0,20.2,19.8
호주,드라마,25.0,20.2,20.2,19.8,20.0,20.0
호주,뷰티,25.0,20.2,20.2,20.0,20.0,19.8
호주,애니메이션,25.0,20.2,20.0,19.8,20.0,20.0
호주,영화,25.0,20.2,20.2,20.0,20.2,20.2
호주,예능,25.0,20.0,20.2,20.0,20.0,19.8
호주,온라인/모바일게임,0.0,20.0,20.0,0.0,0.0,0.0
호주,웹툰,25.0,20.0,20.2,19.8,20.2,20.2
호주,음악,25.0,20.2,20.0,19.8,20.2,20.0
호주,패션,25.2,20.2,20.2,20.0,20.2,20.0
호주,한식,25.2,20.2,20.2,20.0,20.0,20.2
홍콩,게임,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,도서/만화,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,드라마,0.0,0.0,0.0,0.0,0.0,19.8
홍콩,뷰티,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,애니메이션,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,영화,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,예능,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,웹툰,0.0,0.0,0.0,0.0,0.0,20.2
홍콩,음악,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,패션,0.0,0.0,0.0,0.0,0.0,20.0
홍콩,한식,0.0,0.0,0.0,0.0,0.0,20.0
